Município,População
Belo Horizonte,2315560
Uberlândia,713232
Contagem,621865
Juiz de Fora,540756
Montes Claros,414240
Betim,411859
Uberaba,337846
Ribeirão das Neves,329794
Governador Valadares,257172
Divinópolis,231091
Ipatinga,227731
Sete Lagoas,227360
Santa Luzia,218805
Ibirité,170387
Poços de Caldas,163742
Patos de Minas,159235
Pouso Alegre,152212
Teófilo Otoni,137418
Varginha,136467
Conselheiro Lafaiete,131621
Sabará,129372
Vespasiano,129246
Barbacena,125317
Araguari,117808
Itabira,113343
Passos,111939
Nova Lima,111697
Araxá,111691
Nova Serrana,105552
Lavras,104761
Coronel Fabriciano,104736
Muriaé,104108
Ubá,103365
Ituiutaba,102217
Itaúna,97669
Pará de Minas,97139
Paracatu,94017
Itajubá,93073
Manhuaçu,91886
São João del Rei,90225
Patrocínio,89826
Caratinga,87360
Unaí,86619
Esmeraldas,85594
Timóteo,81579
Curvelo,80352
João Monlevade,80187
Alfenas,78970
Viçosa,76430
Três Corações,75485
Lagoa Santa,75145
Ouro Preto,74824
São Sebastião do Paraíso,71796
Janaúba,70699
Formiga,68248
Cataguases,66261
Januária,65130
Pedro Leopoldo,62580
Mariana,61387
Frutal,58588
Ponte Nova,57776
Pirapora,55606
Três Pontas,55259
Extrema,53482
Itabirito,53282
Congonhas,52890
São Francisco,52762
Campo Belo,52277
Bom Despacho,51737
Lagoa da Prata,51412
Leopoldina,51145
Guaxupé,50911
Bocaiuva,48032
Diamantina,47702
Monte Carmelo,47689
João Pinheiro,46801
Igarapé,45847
Santana do Paraíso,44800
São Lourenço,44798
Santos Dumont,42406
Arcos,41417
São Gotardo,40910
Santa Rita do Sapucaí,40635
Andradas,40548
Almenara,40364
Salinas,40178
Boa Esperança,39848
Capelinha,39624
Oliveira,39262
Visconde do Rio Branco,39160
Brumadinho,38915
Caeté,38776
Ouro Branco,38724
Iturama,38295
Mateus Leme,37841
Machado,37684
Jaíba,37660
Matozinhos,37618
Porteirinha,37438
Sarzedo,36844
Piumhi,36062
Nanuque,35038
São Joaquim de Bicas,34348
Araçuaí,34297
Várzea da Palma,33744
Taiobeiras,33050
Itamarandiba,32948
Guanhães,32244
Ouro Fino,32094
Brasília de Minas,32025
Carangola,31240
Pompéu,31047
Barão de Cocais,30778
Além Paraíba,30717
Juatuba,30716
Santa Bárbara,30466
Espinosa,30443
Cláudio,30159
Cambuí,29536
Carmo do Paranaíba,29011
Três Marias,28895
Coromandel,28894
Conceição das Alagoas,28381
Prata,28342
